,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
191,Congo,81022333,152022333,,50000000,Jun 09 1995,PG-13,,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21,4.6,17954
192,Conan the Barbarian,38264085,38264085,,20000000,May 14 1982,,,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76,6.8,38886
193,Conan the Destroyer,26400000,26400000,,18000000,Jun 29 1984,,,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29,5.4,20368
194,Class of 1984,6965361,6965361,,3250000,Aug 20 1982,,,United Film Distribution Co.,Original Screenplay,Drama,Contemporary Fiction,,,6.3,2945
195,The Clan of the Cave Bear,1953732,1953732,,15000000,Jan 17 1986,,,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,,13,4.9,2763
196,The Case of the Grinning Cat,7033,7033,,200000,Jul 21 2006,Not Rated,,First Run/Icarus,Based on Real Life Events,Documentary,Factual,,,,
197,Bacheha-Ye aseman,925402,925402,,180000,Jan 22 1999,PG,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,,8,6657
198,Coming Home,32653000,32653000,,3000000,Dec 31 1977,,,,,,,Hal Ashby,81,7.3,4410
199,Nanjing! Nanjing!,0,20000000,,12000000,Nov 17 2009,R,,National Geographic Entertainment,,,,,,7.6,1725
200,Cool Runnings,68856263,155056263,,14000000,Oct 01 1993,,,Walt Disney Pictures,Based on Real Life Events,Comedy,Contemporary Fiction,Jon Turteltaub,73,6.5,24533
201,Conquest of the Planet of the Apes,9700000,9700000,,1700000,Dec 31 1971,,,,,,,Jack Lee Thompson,44,5.8,6188
202,Cure,94596,94596,,10000,Jul 06 2001,Not Rated,,,,,,,,7.4,2724
203,Crocodile Dundee,174803506,328000000,,5000000,Sep 26 1986,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,88,6.5,27277
204,Dayereh,673780,673780,,10000,Mar 09 2001,Not Rated,,WinStar Cinema,Original Screenplay,Drama,Contemporary Fiction,,,7.3,1851
205,Karakter,713413,713413,,4500000,Mar 27 1998,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,,,7.8,5531
206,Creepshow,20036244,20036244,,8000000,Nov 10 1982,,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,George A. Romero,67,6.5,12530
207,Creepshow 2,14000000,14000000,,3500000,May 01 1987,,,New World,Based on Book/Short Story,Horror,Fantasy,,26,5.4,5910
208,The Crying Game,62546695,62546695,,4000000,Nov 25 1992,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Neil Jordan,100,7.3,21195
209,Crimson Tide,91387195,159387195,,55000000,May 12 1995,R,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,86,7.2,33354
210,Caravans,1000000,1000000,,14000000,Dec 31 1977,,,Universal,Based on Book/Short Story,Adventure,Historical Fiction,,,5.8,173
211,Crying With Laughter,0,0,,820000,Dec 31 2009,,,,,,,,,,
212,Fengkuang de Shitou,0,3000000,,500000,Jun 30 2006,,,,Original Screenplay,Black Comedy,Contemporary Fiction,,,7.6,1209
213,Casablanca,10462500,10462500,,950000,Dec 31 1941,,,Warner Bros.,Based on Play,Drama,Historical Fiction,Michael Curtiz,97,8.8,167939
214,Casino,42438300,110400000,,52000000,Nov 22 1995,R,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,8.1,108634
215,Casper,100328194,282300000,,55000000,May 26 1995,PG,,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,41,5.7,26121
216,Can't Stop the Music,2000000,2000000,,20000000,Dec 31 1979,,,,Original Screenplay,Musical,Contemporary Fiction,,,3.5,2146
217,Catch-22,24911670,24911670,,18000000,Jun 24 1970,,,Paramount Pictures,Based on Book/Short Story,Comedy,Historical Fiction,Mike Nichols,87,7.1,9671
218,City Hall,20278055,20278055,,40000000,Feb 16 1996,R,111,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55,6.1,9908
219,Cutthroat Island,10017322,10017322,,92000000,Dec 22 1995,PG-13,,MGM,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,45,5.3,10346
220,La femme de chambre du Titanic,244465,244465,,10000000,Aug 14 1998,,,MGM,Based on Book/Short Story,Drama,Historical Fiction,,,6.8,822
221,Cat People,4000000,8000000,,134000,Nov 16 2042,,,RKO Radio Pictures,Original Screenplay,Drama,Fantasy,,91,5.9,6791
222,Courage Under Fire,59003384,100833145,,46000000,Jul 12 1996,R,115,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85,6.6,19682
223,C'era una volta il West,5321508,5321508,,5000000,May 28 1969,PG-13,,Paramount Pictures,Original Screenplay,Western,Historical Fiction,Sergio Leone,,8.8,74184
224,The Conversation,4420000,4420000,,1600000,Apr 07 1974,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Francis Ford Coppola,98,8.1,33005
225,Cavite,70071,71644,,7000,May 26 2006,Not Rated,,Truly Indie,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,6,487
226,Copycat,32051917,32051917,,20000000,Oct 27 1995,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,75,6.5,17182
227,Dark Angel,4372561,4372561,,7000000,Sep 28 1990,,,Triumph Releasing,Original Screenplay,Action,Science Fiction,,,5.3,3396
228,"Boot, Das",11487676,84970337,,12000000,Feb 10 1982,R,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Wolfgang Petersen,,4.3,2184
229,Desperado,25532388,25532388,,7000000,Aug 25 1995,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,61,7,51515
230,Dumb & Dumber,127175374,246400000,,16000000,Dec 16 1994,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,,7.2,88093
231,Diamonds Are Forever,43800000,116000000,,7200000,Dec 17 1971,,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,67,6.7,25354
232,The Dark Half,9579068,9579068,,15000000,Apr 23 1993,,,Orion Pictures,Based on Book/Short Story,Horror,Fantasy,George A. Romero,,5.7,5488
233,The Dark Hours,423,423,,400000,Oct 13 2005,R,,Freestyle Releasing,,Horror,,,,6.3,2804
234,Dante's Peak,67163857,178200000,,115000000,Feb 07 1997,PG-13,108,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472
235,Daylight,32908290,158908290,,80000000,Dec 06 1996,PG-13,115,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22,5.4,20052
236,Dick Tracy,103738726,162738726,,47000000,Jun 15 1990,,,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Warren Beatty,65,5.9,25364
237,Decoys,84733,84733,,5000000,Feb 27 2004,R,,,,,,,,4.4,2486
238,Dawn of the Dead,5100000,55000000,,1500000,Apr 20 1979,,,United Film Distribution Co.,,Horror,,,,7.4,73875
239,The Addams Family,113502246,191502246,,30000000,Nov 22 1991,,,Paramount Pictures,Based on TV,Comedy,Fantasy,Barry Sonnenfeld,59,6.6,28907
240,Death Becomes Her,58422650,149022650,,55000000,Jul 31 1992,,,Universal,Original Screenplay,Comedy,Fantasy,Robert Zemeckis,53,6,27681
241,Def-Con 4,210904,210904,,1300000,Mar 15 1985,,,New World,Original Screenplay,Action,Science Fiction,,,3.8,639
242,Dead Poets' Society,95860116,239500000,,16400000,Jun 02 1989,,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,86,7.8,89662
243,The Day the Earth Stood Still,3700000,3700000,,1200000,Mar 04 2003,,,,,,,,94,5.5,51517
244,Deep Throat,45000000,45000000,,25000,Jun 30 1972,,,,,,,,,5.2,3075
245,The Dead Zone,20766000,20766000,,10000000,Oct 21 1983,,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,David Cronenberg,,7.3,19485
246,Die Hard 2,117323878,239814025,,70000000,Jul 03 1990,,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Renny Harlin,,7,79636
247,Die Hard: With a Vengeance,100012499,364480746,,90000000,May 19 1995,R,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,,7.4,87437
248,Dragonheart,51364680,104364680,,57000000,May 31 1996,PG-13,108,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50,6.2,26309
249,Die Hard,81350242,139109346,,28000000,Jul 15 1988,,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,94,7.3,237
250,Diner,12592907,12592907,,5000000,Apr 02 1982,,,MGM,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,96,7.1,7803
251,Dil Jo Bhi Kahey...,129319,129319,,1600000,Sep 23 2005,Not Rated,,Eros Entertainment,Original Screenplay,Drama,,,,5,159
252,Don Juan DeMarco,22032635,22032635,,25000000,Apr 07 1995,PG-13,,New Line,Original Screenplay,Drama,Contemporary Fiction,,73,6.6,20386
253,Tales from the Crypt: Demon Knight,21089146,21089146,,12000000,Jan 13 1995,R,,Universal,Original Screenplay,Horror,Fantasy,,,6.4,6430
254,Damnation Alley,,,,17000000,Oct 21 1977,,,,,,,,,4.7,1655
255,Dead Man Walking,39387284,83088295,,11000000,Dec 29 1995,R,,Gramercy,Based on Real Life Events,Drama,Dramatization,Tim Robbins,94,7.6,32159
256,Dances with Wolves,184208842,424200000,,19000000,Nov 09 1990,,,Orion Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,76,8,71399
257,Dangerous Liaisons,34700000,34700000,,14000000,Dec 21 1988,,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,93,7.7,25761
258,Donovan's Reef,6600000,6600000,,2686000,Dec 31 1962,,,,,,,John Ford,60,6.6,2907
259,Due occhi diabolici,349618,349618,,9000000,Oct 25 1991,,,,,,,,,5.9,2059
260,Double Impact,29090445,29090445,,16000000,Aug 09 1991,,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Sheldon Lettich,8,4.7,10426
261,The Doors,34167219,34167219,,40000000,Mar 01 1991,,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,57,7,29750
262,Day of the Dead,5804262,34004262,,3500000,Jul 03 1985,,,United Film Distribution Co.,,Horror,,George A. Romero,78,4.5,8395
263,Days of Thunder,82670733,157670733,,60000000,Jun 27 1990,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,40,5.4,25395
264,Dracula: Pages from a Virgin's Diary,39659,84788,,1100000,May 14 2003,Not Rated,,,,,,,,7,1013
265,Dolphin,14000,14000,,170000,Jun 01 1979,,,,Based on Real Life Events,Documentary,Factual,,,5.8,134
266,Death Race 2000,,,,300000,Apr 01 1975,R,,,Based on Book/Short Story,,Science Fiction,,84,6.1,10015
267,Drei,0,0,,7200000,Dec 31 1969,,,,,,,Tom Tykwer,,,
268,The Dress,16556,16556,,2650000,Jan 16 1998,Not Rated,,Attitude Films,Original Screenplay,Drama,,,,7.6,1844
269,The Deer Hunter,50000000,50000000,,15000000,Dec 31 1978,,,Universal,Original Screenplay,Drama,,Michael Cimino,,8.2,88095
270,Dragonslayer,6000000,6000000,,18000000,Jun 26 1981,,,Paramount Pictures,Original Screenplay,Action,Fantasy,,82,6.8,4945
271,Driving Miss Daisy,106593296,106593296,,7500000,Dec 13 1989,,,Warner Bros.,Based on Play,Drama,Historical Fiction,Bruce Beresford,78,7.5,22566
272,Dressed to Kill,31899000,31899000,,6500000,Jan 01 1980,,,,,,,Brian De Palma,84,7.1,9556
273,Do the Right Thing,26004026,26004026,,6000000,Jun 30 1989,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,98,7.9,26877
274,Dune,27447471,27447471,,45000000,Dec 14 1984,,,Universal,Based on Book/Short Story,Action,Science Fiction,David Lynch,62,6.5,38489
275,Dolphins and Whales Tribes of the Ocean 3D,7714996,17252287,,6000000,Feb 15 2008,Not Rated,,3D Entertainment,Based on Real Life Events,Documentary,Factual,,,,
276,Down & Out with the Dolls,58936,58936,,1200000,Mar 21 2003,R,,Indican Pictures,,,,,,5.8,75
277,Dream With The Fishes,542909,542909,,1000000,Jun 20 1997,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,58,6.6,1188
278,Doctor Zhivago,111721000,111721000,,11000000,Dec 22 1965,PG-13,,MGM,Based on Book/Short Story,Drama,Historical Fiction,David Lean,84,8,27671
279,The Evil Dead,2400000,29400000,,375000,Apr 15 1983,NC-17,,New Line,,Horror,,Sam Raimi,,7.6,45030
280,Evil Dead II,5923044,5923044,,3500000,Mar 13 1987,,,Rosebud Releasing,,Horror,Fantasy,Sam Raimi,,7.9,44214
281,Army of Darkness,11502976,21502976,,11000000,Feb 19 1993,R,,Universal,,Horror,Fantasy,Sam Raimi,,7.6,55671
282,Ed and his Dead Mother,673,673,,1800000,Dec 31 1992,,,,,,,,50,5.6,829
283,Edward Scissorhands,53976987,53976987,,20000000,Dec 07 1990,,,20th Century Fox,Original Screenplay,Comedy,Fantasy,Tim Burton,91,8,102485
284,Ed Wood,5828466,5828466,,18000000,Sep 30 1994,R,,Walt Disney Pictures,Based on Book/Short Story,Comedy,Dramatization,Tim Burton,91,8.1,74171
285,The Egyptian,15000000,15000000,,5000000,Dec 31 1953,,,,,,,Michael Curtiz,,6.2,1097
286,Everyone Says I Love You,9725847,34600000,,20000000,Dec 06 1996,R,,Miramax,Original Screenplay,Musical,Contemporary Fiction,Woody Allen,80,6.8,16481
287,The Elephant Man,26010864,26010864,,5000000,Oct 03 1980,,,,,,,David Lynch,91,8.4,58194
288,Emma,22231658,37831658,,5900000,Aug 02 1996,PG,111,Miramax,Based on Book/Short Story,Romantic Comedy,Historical Fiction,,,6.8,13798
289,Star Wars Ep. V: The Empire Strikes Back,290271960,534171960,10027926,23000000,May 21 1980,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,,,,
290,Escape from New York,25244700,25244700,,6000000,Jul 10 1981,,,Avco Embassy,Original Screenplay,Action,Science Fiction,John Carpenter,82,7.1,34497
291,Escape from L.A.,25426861,25426861,,50000000,Aug 09 1996,R,101,Paramount Pictures,Original Screenplay,Action,Science Fiction,John Carpenter,56,5.3,23262
292,Escape from the Planet of the Apes,12300000,12300000,,2500000,Dec 31 1970,,,,,,Science Fiction,,78,6.1,7686
293,Eraser,101295562,234400000,,100000000,Jun 21 1996,R,115,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34,5.9,37287
294,Eraserhead,7000000,7000000,,100000,Dec 31 1976,,,,,,,David Lynch,90,7.4,26595
295,Everything You Always Wanted to Know,18016290,18016290,,2000000,Aug 11 1972,,,MGM,Based on Book/Short Story,Comedy,,Woody Allen,,,
296,ET: The Extra-Terrestrial,435110554,792910554,,10500000,Jun 11 1982,PG,,Universal,Original Screenplay,Drama,Science Fiction,Steven Spielberg,,7.9,105028
297,Excessive Force,1152117,1152117,,13000000,May 14 1993,,,,,,,,,4.7,537
298,Exorcist II: The Heretic,25011000,25011000,,14000000,Jun 17 1977,,,,,Horror,,John Boorman,,3.5,7849
299,Exotica,5046118,5046118,,1500000,Sep 23 1994,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,96,7.1,8402
300,Force 10 from Navarone,7100000,7100000,,5000000,Dec 22 1978,,,Sony/Columbia,,Action,,Guy Hamilton,64,6,5917
301,A Farewell To Arms,11000000,11000000,,5000000,Dec 31 1956,,,,,,,John Huston,,6.6,1655
302,Fatal Attraction,156645693,320100000,,14000000,Sep 18 1987,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Adrian Lyne,81,6.8,22328
303,Family Plot,13200000,13200000,,3000000,Apr 09 1976,,,Universal,,,,Alfred Hitchcock,95,6.8,7290
304,Fabled,31425,31425,,400000,Dec 10 2004,R,,Indican Pictures,Original Screenplay,Horror,,Ari S. Kirschenbaum,,5.4,146
305,Fetching Cody,0,0,,1500000,Mar 17 2006,,,,Original Screenplay,Comedy,Science Fiction,,,6.7,535
306,The French Connection,41158757,41158757,,2200000,Oct 09 1971,,,,,,,William Friedkin,98,7.9,33674
307,From Dusk Till Dawn,25728961,25728961,,20000000,Jan 19 1996,R,107,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63,7.1,80234
308,Friday the 13th,39754601,59754601,,550000,May 09 1980,,,Paramount Pictures,,Horror,,,60,5.6,26798
309,Friday the 13th Part 3,36690067,36690067,,2250000,Aug 13 1982,,,Paramount Pictures,,Horror,Contemporary Fiction,Steve Miner,14,5.5,13395
310,Friday the 13th Part IV: The Final Chapter,32980880,32980880,,2600000,Apr 13 1984,,,Paramount Pictures,,Horror,Fantasy,,,,
311,Friday the 13th Part V: A New Beginning,21930418,21930418,,2200000,Mar 22 1985,,,Paramount Pictures,,Horror,Contemporary Fiction,,,,
312,Friday the 13th Part VI: Jason Lives,19472057,19472057,,3000000,Aug 01 1986,,,Paramount Pictures,,Horror,Fantasy,,,,
313,Friday the 13th Part VII: The New Blood,19170001,19170001,,2800000,May 13 1988,,,Paramount Pictures,,Horror,Fantasy,,,4.6,8916
314,Friday the 13th Part VIII: Jason Takes Manhattan,14343976,14343976,,5000000,Jul 28 1989,,,Paramount Pictures,,Horror,Fantasy,,,3.9,10113
315,Jason Goes to Hell: The Final Friday,15935068,15935068,,3000000,Aug 13 1993,,,New Line,,Horror,Fantasy,,,4.1,8733
316,Per qualche dollaro in pi˘,4300000,4300000,,600000,May 10 1967,,,MGM,Original Screenplay,Western,Historical Fiction,Sergio Leone,,8.2,44204
317,Per un pugno di dollari,3500000,3500000,,200000,Jan 18 1967,,,United Artists,Remake,Western,Historical Fiction,Sergio Leone,,8,39929
318,The Fall of the Roman Empire,4750000,4750000,,19000000,Jan 01 1964,,,,,,,,100,6.6,3184
319,Friday the 13th Part 2,21722776,21722776,,1250000,Apr 30 1981,,,,,Horror,,Steve Miner,33,5.5,13395
320,Faithful,2104439,2104439,,13000000,Apr 05 1996,R,,New Line,Based on Play,Black Comedy,Contemporary Fiction,Paul Mazursky,7,5.7,989
321,Fair Game,11497497,11497497,,50000000,Nov 03 1995,R,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,13,6.6,194
322,A Few Good Men,141340178,236500000,,33000000,Dec 11 1992,,,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Rob Reiner,83,7.6,63541
323,The Fugitive,183875760,368900000,,44000000,Aug 06 1993,PG-13,,Warner Bros.,Based on TV,Thriller/Suspense,Contemporary Fiction,Andrew Davis,94,7.8,96914
324,From Here to Eternity,30500000,30500000,,1650000,Aug 05 1953,,,,,,,Fred Zinnemann,86,7.9,15115
325,First Morning,87264,87264,,300000,Jul 15 2005,PG-13,90,Illuminare,,Drama,,,,,
326,Shooting Fish,302204,302204,,4000000,May 01 1998,PG,,Fox Searchlight,,,,,,6.4,4849
327,F.I.S.T,20388920,20388920,,11000000,Apr 13 1978,,,United Artists,Based on Real Life Events,Drama,Dramatization,Norman Jewison,,6.2,2737
328,Flashdance,90463574,201463574,,7000000,Apr 15 1983,,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Adrian Lyne,29,5.6,12485
329,Fled,17192205,19892205,,30000000,Jul 19 1996,R,98,MGM,Original Screenplay,Action,Contemporary Fiction,,14,4.9,4215
330,Flash Gordon,27107960,27107960,,35000000,Dec 05 1980,,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,,81,6.2,14894
331,The Flintstones,130531208,358500000,,45000000,May 27 1994,PG,,Universal,Based on TV,Comedy,Historical Fiction,Brian Levant,20,4.6,26521
332,Flight of the Intruder,14471440,14471440,,35000000,Jan 18 1991,,,Paramount Pictures,Based on Book/Short Story,Action,Historical Fiction,John Milius,,5.3,2592
333,Flatliners,61308153,61308153,,26000000,Aug 10 1990,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Joel Schumacher,52,6.4,23295
334,The Flower of Evil,181798,181798,,6000000,Oct 10 2003,R,,,,,,,64,,
335,Funny Ha Ha,77070,77070,,30000,Apr 29 2005,Not Rated,,Goodbye Cruel Releasing,Original Screenplay,Comedy,,,,6.1,1138
336,The Funeral,1212799,1412799,,12500000,Nov 01 1996,R,,October Films,Original Screenplay,Drama,Historical Fiction,Abel Ferrara,83,6.4,4084
337,Fantasia,83320000,83320000,,2280000,Nov 13 2040,,,Walt Disney Pictures,Compilation,Musical,Multiple Creative Types,,98,7.8,29914
338,Fantasia 2000 (IMAX),60507228,60507228,,80000000,Jan 01 2000,G,75,Walt Disney Pictures,Compilation,Musical,Kids Fiction,,,,
339,The Fog,21378361,21378361,,1000000,Feb 01 1980,,,Avco Embassy,,Horror,,John Carpenter,69,3.3,15760
340,Forrest Gump,329694499,679400525,,55000000,Jul 06 1994,PG-13,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Robert Zemeckis,70,8.6,300455
341,Fortress,6730578,46730578,,12000000,Sep 03 1993,,,Miramax,Original Screenplay,Action,Science Fiction,,36,5.5,7026
342,Fiddler on the Roof,80500000,80500000,,9000000,Jan 01 1971,,,United Artists,Based on Musical/Opera,Musical,Historical Fiction,Norman Jewison,88,7.7,14260
343,The Front Page,15000000,15000000,,4000000,Dec 17 1974,,,Universal,Based on Play,Comedy,Contemporary Fiction,Billy Wilder,67,7.2,3875
344,First Blood,47212904,125212904,,14000000,Oct 22 1982,R,,Orion Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Ted Kotcheff,,7.4,56369
345,Friday,27467564,27936778,,3500000,Apr 26 1995,R,,New Line,Original Screenplay,Comedy,Contemporary Fiction,F. Gary Gray,77,7,21623
346,Freeze Frame,0,91062,,2000000,Dec 10 2004,R,,First Look,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,83,6.3,1723
347,Firefox,45785720,45785720,,21000000,Jun 18 1982,,,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Clint Eastwood,42,5.6,9348
